name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in,found_year
Dina,15.92,female,Unknown Mix,2014-01-02,2014-01-02,2014-01-02,brown and white,short,medium,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,2014
Pötyi,8.17,female,Unknown Mix,2013-12-13,2013-12-13,2013-12-16,black and white,short,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Castor,7.75,male,Siberian Husky Mix,2014-01-02,2014-01-02,2014-01-02,black and white,short,medium,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,2014
Unknown,10.08,female,"Bolognese, Havanese",2013-11-29,2013-11-29,2013-12-03,white,long,small,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Inca,7.25,female,Unknown Mix,2013-10-01,2013-10-01,2013-12-31,black and brown,short,medium,unknown,unknown,yes,yes,yes,yes,unknown,unknown,2013
Helena,7.17,female,Unknown Mix,2013-12-13,2013-12-13,2013-12-16,yellow-brown,short,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Franklin,9.17,male,German Shepherd Dog,2014-01-02,2014-01-02,2014-01-02,sable,short,medium,unknown,unknown,yes,yes,unknown,yes,unknown,unknown,2014
Unknown,6.92,male,Unknown Mix,2014-01-01,2014-01-01,2014-01-02,yellow-brown,short,medium,unknown,unknown,yes,yes,yes,yes,unknown,unknown,2014
Stefán,7.75,male,"Belgian Malinois, Hungarian Vizsla Mix",2013-09-27,2013-09-27,2013-12-03,brown,short,medium,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,2013
Bobby,6.25,male,German Shepherd Dog Mix,2014-01-02,2014-01-02,2014-01-02,black and brown,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2014
Mira,13.67,female,"Puli, Schnauzer, Spaniel Mix",2006-06-10,2006-06-10,2013-12-07,black,long,medium,no,yes,yes,yes,unknown,unknown,no,garden,2006
Zoya,15.92,female,Unknown Mix,2014-01-01,2014-01-01,2014-01-02,yellow-brown,short,medium,unknown,unknown,yes,yes,yes,yes,unknown,unknown,2014
Keverék Kislány,6.08,female,Unknown Mix,2013-12-29,2013-12-29,2013-12-30,black,short,medium,no,unknown,yes,yes,yes,yes,yes,both flat and garden,2013
Temes,7.5,male,Labrador Retriever Mix,2013-11-15,2013-11-15,2013-12-04,black,short,medium,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,2013
Conny,6.83,female,Unknown Mix,2014-01-02,2014-01-02,2014-01-02,white,short,medium,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,2014
Buddy,6.25,male,German Shepherd Dog Mix,2014-01-02,2014-01-02,2014-01-02,black and brown,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2014
Bobi,7.92,male,Unknown Mix,2013-06-30,2013-11-05,2013-11-04,gray,short,large,no,unknown,yes,yes,unknown,unknown,unknown,garden,2013
Amalia,6.92,female,Unknown Mix,2013-10-14,2013-10-14,2013-10-14,brown and white,short,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Rágcsa,8.08,male,Unknown Mix,2013-05-27,2013-10-18,2013-10-18,brown,short,medium,no,unknown,yes,unknown,no,yes,unknown,garden,2013
Lelenc,7.5,female,Unknown Mix,2013-07-03,2013-10-01,2013-10-08,black and white,short,large,no,unknown,yes,unknown,yes,yes,unknown,garden,2013
Nugát,7.42,male,German Pointer Mix,2013-09-15,2013-09-15,2013-10-08,brown,short,medium,yes,unknown,yes,yes,yes,yes,yes,flat,2013
Brikett,8.17,male,Schnauzer Mix,2013-09-15,2013-09-15,2013-10-07,black,wirehaired,medium,yes,unknown,yes,yes,yes,yes,unknown,both flat and garden,2013
Béla,7.25,male,Unknown Mix,2012-11-10,2013-11-08,2013-11-08,black and tan,short,medium,no,unknown,yes,unknown,unknown,unknown,no,both flat and garden,2012
Buksi,6.75,female,Unknown Mix,2013-09-14,2013-09-14,2013-10-27,apricot,short,medium,yes,unknown,yes,yes,yes,yes,unknown,both flat and garden,2013
Amina,9.08,female,Unknown Mix,2013-07-10,2013-10-29,2013-10-29,brown and white,short,medium,no,unknown,yes,yes,yes,yes,yes,both flat and garden,2013
Flexy,10.75,male,Unknown Mix,2013-10-14,2013-10-14,2013-10-14,black and brown,short,medium,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,2013
Blikk,6.5,male,"Bernese Mountain Dog, Dachshund Mix",2013-09-15,2013-09-15,2013-10-07,tricolor,medium,small,no,unknown,yes,yes,yes,yes,yes,both flat and garden,2013
Blacky,9.08,male,"American Pit Bull Terrier, Staffordshire Terrier Mix",2013-07-10,2013-10-29,2013-10-29,black and white,short,large,yes,unknown,yes,unknown,no,no,no,garden,2013
Snoopy,8.17,female,Doberman Mix,2011-11-11,2011-11-11,2013-10-02,black,short,medium,yes,unknown,yes,yes,yes,yes,unknown,both flat and garden,2011
Mudika,7.08,male,Mudi Mix,2013-10-11,2013-11-05,2013-11-06,black,medium,small,unknown,unknown,yes,yes,yes,yes,unknown,both flat and garden,2013
Sue,6.92,female,Unknown Mix,2013-11-12,2013-11-12,2013-11-12,brown and white,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2013
Tom,7.25,male,Unknown Mix,2012-11-10,2013-11-08,2013-11-08,black,short,medium,no,unknown,yes,unknown,yes,yes,no,both flat and garden,2012
Luca,8.17,female,Unknown Mix,2013-05-01,2013-05-01,2013-10-08,black,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,2013
Negro,11.0,male,Briard Mix,2011-07-01,2011-07-01,2013-11-14,black,long,large,yes,unknown,yes,yes,yes,unknown,unknown,both flat and garden,2011
Zoé,11.0,female,German Shepherd Dog,2013-10-20,2013-10-20,2013-11-16,brown,short,large,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,2013
Sophy,9.92,female,German Shepherd Dog Mix,2013-08-25,2013-08-25,2013-10-01,black and tan,short,medium,yes,unknown,yes,unknown,yes,yes,unknown,both flat and garden,2013
Szõrmók,14.92,male,Unknown Mix,2006-01-01,2006-01-01,2013-09-24,saddle back,medium,large,yes,unknown,yes,unknown,yes,yes,unknown,both flat and garden,2006
Totó,7.17,male,Siberian Husky Mix,2013-09-17,2013-09-17,2013-09-23,black and white,short,medium,no,unknown,yes,yes,yes,yes,unknown,garden,2013
Dani,10.08,male,Staffordshire Terrier Mix,2009-12-01,2009-12-01,2013-09-23,black and white,short,large,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2009
Unknown,11.17,male,Unknown Mix,2013-09-24,2013-09-24,2013-09-25,black,short,medium,unknown,unknown,yes,unknown,yes,yes,yes,garden,2013
Rozsdi,14.42,male,Unknown Mix,2010-01-01,2010-01-01,2013-09-24,brown and white,short,large,unknown,unknown,yes,unknown,yes,yes,unknown,both flat and garden,2010
Teo,7.75,male,Unknown Mix,2013-09-26,2013-09-26,2013-09-30,black,short,medium,unknown,unknown,yes,yes,yes,yes,unknown,unknown,2013
Maci,16.17,male,Unknown Mix,2010-01-01,2010-01-01,2013-09-23,brown and white,short,large,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,2010
Tüske,15.92,male,Collie Mix,2013-09-13,2013-10-20,2013-09-25,tricolor,long,medium,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
Tigó,10.92,male,"German Shepherd Dog, Labrador Retriever, Staffordshire Terrier Mix",2013-03-10,2013-08-01,2013-09-25,black and brown,medium,large,yes,yes,yes,no,yes,yes,yes,garden,2013
Dönci,14.92,male,Old German Shepherd Mix,2010-01-01,2010-01-01,2013-09-23,brown and white,long,medium,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,2010
Napé,6.58,female,Dachshund Mix,2013-09-13,2013-10-10,2013-09-24,saddle back,short,small,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
Málna,12.92,female,Unknown Mix,2007-07-22,2007-07-22,2013-09-24,black and brown,long,medium,yes,unknown,yes,unknown,yes,yes,unknown,unknown,2007
Anka,8.92,female,Unknown Mix,2013-09-26,2013-09-26,2013-09-30,black,short,medium,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,2013
Béni,13.92,male,"Beagle, Dachshund Mix",2010-01-01,2010-01-01,2013-09-23,tricolor,short,small,no,unknown,yes,unknown,unknown,yes,unknown,both flat and garden,2010
Martina,7.75,female,Labrador Retriever Mix,2013-09-20,2013-09-20,2013-09-26,black,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2013
Fruzsi,14.17,female,Schnauzer Mix,2010-01-01,2010-01-01,2013-09-23,gray and white,medium,medium,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,2010
Patak,6.83,female,Dachshund Mix,2013-09-10,2013-10-11,2013-09-25,black and tan,medium,small,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
Stella,15.92,female,German Shepherd Dog,2013-09-25,2013-09-25,2013-09-30,saddle back,short,medium,unknown,unknown,yes,unknown,yes,unknown,unknown,unknown,2013
Prímás,8.33,male,Dachshund Mix,2013-09-10,2013-10-10,2013-09-24,black and tan,short,small,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
Celi,7.0,male,Rottweiler Mix,2013-09-12,2013-10-12,2013-09-24,black and tan,short,large,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
